Artist_Group,Artist,Title,QR_Code,Released,Record_Case
"Alice Cooper","Alice Cooper",Poison,https://www.discogs.com/release/1156547,1989,"7"" - Playlist - 01"
"Alien Ant Farm","Alien Ant Farm","Smooth Criminal",https://www.discogs.com/release/19309666,2021,"7"" - Playlist - 01"
"Alison Moyet","Alison Moyet","All Cried Out",https://www.discogs.com/release/852251,1984,"7"" - Playlist - 01"
"Alison Moyet","Alison Moyet",Invisible,https://www.discogs.com/release/853821,1984,"7"" - Playlist - 01"
"Alison Moyet","Alison Moyet","Is This Love?",https://www.discogs.com/release/853826,1986,"7"" - Playlist - 01"
"Alison Moyet","Alison Moyet","Love Letters",https://www.discogs.com/release/7953511,1987,"7"" - Playlist - 01"
"Alison Moyet","Alison Moyet","Love Resurrection",https://www.discogs.com/release/820745,1984,"7"" - Playlist - 01"
"Alison Moyet","Alison Moyet","That Ole Devil Called Love",https://www.discogs.com/release/457342,1985,"7"" - Playlist - 01"
"Alison Moyet","Alison Moyet","Weak In The Presence Of Beauty",https://www.discogs.com/release/1117516,1987,"7"" - Playlist - 01"
"All About Eve","All About Eve","Wild Hearted Woman",https://www.discogs.com/release/2221807,1988,"7"" - Archive 01"
"Alma Cogan","Alma Cogan","Never Do A Tango With An Eskimo",https://www.discogs.com/release/12561321,1955,"7"" - Holiday"
Alphaville,Alphaville,"Big In Japan",https://www.discogs.com/release/595705,1984,"7"" - Playlist - 01"
"Alphonse Mouzon","Alphonse Mouzon","Don't Want To Lose This Feeling",https://www.discogs.com/release/4318192,1982,"7"" - Archive 01"
"Altered Images","Altered Images","Don't Talk To Me About Love",https://www.discogs.com/release/4221955,1983,"7"" - Archive 01"
"Altered Images","Altered Images","Happy Birthday",https://www.discogs.com/release/215241,1981,"7"" - Playlist - 01"
"Altered Images","Altered Images","I Could Be Happy",https://www.discogs.com/release/2273370,1981,"7"" - Playlist - 01"
"Altered Images","Altered Images","Pinky Blue",https://www.discogs.com/release/10757849,1982,"7"" - Playlist - 01"
"Altered Images","Altered Images","See Those Eyes",https://www.discogs.com/release/440708,1982,"7"" - Playlist - 01"
"Alternative Radio","Alternative Radio","First Night",https://www.discogs.com/release/147794,1986,"7"" - Archive 01"
"Althia & Donna","Althea & Donna / The Mighty Two","Up Town Top Ranking / Calico Suit",https://www.discogs.com/release/424970,1977,"7"" - Playlist - 01"
"Alton Edwards","Alton Edwards","I Just Wanna (Spend Some Time With You)",https://www.discogs.com/release/18294022,1981,"7"" - Archive 01"
"Alvin Cash","Alvin Cash","Doin' The Ali Shuffle",https://www.discogs.com/release/4535599,1967,"7"" - Archive 01"
"Alvin Stardust","Alvin Stardust","Angel From Hamburger Heaven",https://www.discogs.com/release/2348729,1975,"7"" - Archive 01"
"Alvin Stardust","Alvin Stardust","Good Love Can Never Die",https://www.discogs.com/release/15327877,1975,"7"" - Archive 01"
"Alvin Stardust","Alvin Stardust","I Won't Run Away",https://www.discogs.com/release/1672071,1984,"7"" - Archive 01"
"Alvin Stardust","Alvin Stardust","Jealous Mind",https://www.discogs.com/release/431467,1973,"7"" - Archive 01"
"Alvin Stardust","Alvin Stardust","My Coo Ca Choo",https://www.discogs.com/release/563522,1973,"7"" - Archive 01"
"Alvin Stardust","Alvin Stardust",Pretend,https://www.discogs.com/release/6808214,1981,"7"" - Archive 01"
"Alvin Stardust","Alvin Stardust","Red Dress",https://www.discogs.com/release/1385229,1974,"7"" - Archive 01"
"Alvin Stardust","Alvin Stardust","Tell Me Why",https://www.discogs.com/release/1870383,1974,"7"" - Archive 01"
